d10/2,d100,CYPHER,DESCRIPTION,LEVEL,FORM,,,,,,,
2,35,Permanent handle,"When activated, this device permanently bonds (on a molecular level) to whatever it touches, giving that object a handle. It inflicts damage equal to the cypher level to any living creature it bonds to.",1d6,Handle-shaped metal and synth piece,,,,,,,
2,36,Portable biolab,"Inside the orb is a complex, self-sustaining ecosystem that creates a useful compound, plant, or creature. When the glass is broken, the lab-produced item becomes available to the user.
Although the creation inside could be almost anything, common options include:
01–10 Inhalable gas that allows the user to see in complete darkness as if it were daylight for one hour
11–30 Bioluminescent grubs that, when eaten, cause the user’s skin to glow green for one hour
31–40 Drinkable purple liquid that adds 5 to the Pool of the user’s choice for one hour
41–50 Orange-petaled flower that increases stamina when eaten, adding 1 to the user’s Might Edge for one hour
51–75 Red speckled mushroom that, when licked, causes the user’s mind to open, decreasing the difficulty of all skills related to perception, telepathy, and telekinetics by one step for 28 hours.
76–00 Blue-green moss that, when rubbed on skin, makes the skin tacky and sticky. The difficulty of all tasks elated to keeping a good grip (including climbing, balancing, and lockpicking) is decreased by one step for 28 hours.",1d6,Glass orb,,,,,,,
2,37,Psychic focus,"Increases the intensity of the user’s next mental ability, such as a mental Onslaught esotery or the use of psychokinesis. Damaging attacks inflict 2 additional points of damage, and other abilities have double the normal range or duration (user’s choice).",1d6,Pill,Injection,Headband,Crystal placed on temple or forehead,Handheld device,,,
2,38,Purity,"Pouring the canister’s contents into another liquid or onto solid material instantly eradicates any toxins, poisons, diseases, or other contaminants in that liquid or material. The purity liquid also prevents the target from being contaminated by such things for 28 hours.",1d6,Liquid in a metal or glass canister,,,,,,,
2,39,Quadraturin,"This substance warps space, expanding it. When applied to a surface, it expands the space around that surface – for example, making an interior room larger. The tube has enough gel to cover an area of about 3 m by 3 m by 3 m, expanding it into an area of about 15 m by 15 m by 15 m.",1d6,Gel in a tube,,,,,,,
2,40,Ranged protector,"This cypher comes as a pair of items, but one is the master of the other. When the master item is activated, the creature wearing the other item is surrounded by a force shield that provides Armor equal to the cypher level for ten minutes.
While one character could wear both items, many people use ranged protectors to put a shield around a pet, a child, or a defenseless charge who cannot normally activate a cypher.
The master item can be activated from any range to surround its counterpart with the protective shield.",1d6,Two rings,Circlets,Bracelets,Belts,,,,
2,41,Regrow,"When the entire contents of the canister are smeared on the stump of a missing limb or another body part, the ointment causes the body to regrow the missing part. The user must roll a d6: on a 1 or 2, the body part is half the normal size; on a 3 or 4, it’s normal size; on a 5 or 6, it’s twice the normal size. Regardless of the result, the body part is the same color as the ointment.",1d6,Metal canister filled with bright blue ointment,,,,,,,
2,42,Remote sensorium,"Allows the user to create a replica of one of her sensory organs and place it in a remote location up to 1.6 km away, thus enhancing that particular sense. She can see, hear, touch, taste, or smell things that are within short range of the replicated organ as if she were also within short range.",1d6,Moldable synth,,,,,,,
2,43,Remote viewer,"For one hour per cypher level, the glass screen on one part shows everything going on in the vicinity of the other part, regardless of the distance between the two parts.",1d6,Split device,,,,,,,
2,44,Retaliation nodule,"For the next 28 hours, anyone striking the armor the nodule is attached to triggers a small burst of electricity that inflicts 1 point of damage (2 points if the cypher is level 4 or higher, 3 points if the cypher is level 6 or higher). No action or roll is required by the armor’s wearer.",1d6,Crystal nodule affixed to armor,,,,,,,
2,45,Revealer dart,"The device fires a metal dart at a single target within range. Upon striking the target, the device flashes bright red and issues a soft ringing that lasts for one hour. If the target tries to remove the dart, it delivers a current of electricity that inflicts 3 points of damage that ignores Armor. Until the effect ends, the user has an asset on all attack rolls against the target.",1d6,Wristband projector (short range),Handheld projector (long range),,,,,,
2,46,Reviver,"The device causes an unconscious, sleeping, or comatose character to wake up immediately, completely alert. This treatment does not repair damage or cure illness.",1d6,Injectable liquid,Pill,,,,,,
2,47,Root spike,Shoots a single thorn at a target within range. The thorn inflicts 2 points of damage and wraps the target in a mesh of roots and vines that anchor it in place for one minute or until it or another creature uses an action to free it.,1d6,Wristband projector (short range),Headband projector (short range),Handheld projector (long range),,,,,
2,48,Rynrad skin,"When fully enclosed in a rynrad skin, the wearer pushes the release button on the chemical bladder, and the suit begins to seep invisible streams of rynrad poison into the surrounding area. Rynrad poison does nerve damage (equal to the cypher level) to all living creatures in long range for two rounds.
The suit protects the wearer from the effects of all poisons and grants +1 to Armor against piercing attacks for one hour.",1d6,"Full-body skinsuit designed to be worn over armor, complete with hood, mask, and chemical bladder",,,,,,,
2,49,Second sight symbiote,"Activation inflicts 1 point of damage as the symbiote establishes itself in the user’s system. For the next hour, the user has an asset for all perception-based tasks.",1d6,Inhalable powder,Injector,,,,,,
2,50,Secret pocket,"The article of clothing has a special pocket. The pocket’s opening connects to an extradimensional space that’s about the size of 1 m cube. The opening appears to be a normal pocket, but it can stretch to permit entry by an object capable of fitting into the extradimensional space. Placing an object in the space causes the pocket to shut until the user takes an action to open it. While the pocket holds an object, it cannot be opened by anyone except the person who placed the object inside it. Anyone inspecting the clothing finds no sign that the pocket or object exists. Furthermore, the clothing’s weight is unchanged regardless of the weight of the object placed in the pocket. When the user removes the object from the pocket, the pocket closes behind it and the space collapses.",1d6,Shirt,Jacket,Pants,,,,,
2,51,See you goggles,"When two people wear these goggles at the same time and activate the viewers, each can see what the other person sees. There is no range restriction, as the devices seem to connect to each other via some lingering element of the datasphere. The goggles work for a number of hours equal to the cypher level.",1d6,"A near-matching set of goggles or glasses, each with a tiny mechanical viewer on the side",,,,,,,
2,52,Seed boat,Dropping the cypher into a pool of water at least 3 m in diameter causes the device to absorb the water and instantly grow into a flat-bottomed boat. The boat is large enough to hold ten human-sized creatures.,1d6,A small seed or pellet,,,,,,,
2,53,Sexual alteration device,"Alters some element of the user’s sexuality for one day. Roll d100 for the effect:
01–10 Allows user to tweak his gender in any way he sees fit
11–30 Allows user to change his sexual orientation or interests
31–40 Removes all sexual drive
41–50 Doubles all sexual drive
51–75 Causes the user to produce a pheromone that sexually attracts anyone within close range
76–00 Causes the user to produce a pheromone that sexually repels anyone within close range",1d6,Belt,Bracelet,Handheld device,,,,,
2,54,Sheen,"For one week, the user’s cells are coated with a protective veneer that resists damage (+1 to Armor, or +2 to Armor if the cypher is level 5 or higher) and eases Might defense rolls by two steps. However, healing is more difficult during this time; all recovery rolls suffer a –1 penalty.",1d6,Pill,Ingestible liquid,Injector,,,,,
2,55,Shock nodule,"For the next 28 hours, each time the weapon the nodule is attached to strikes a solid creature or object, it generates a burst of electricity, inflicting 1 additional point of damage (2 points if the cypher is level 4 or higher, 3 points if the cypher is level 6 or higher).",1d6,Crystal nodule affixed to a melee weapon,,,,,,,
2,56,Sidestep portal,"The user steps sideways and disappears into an extradimensional space, where she can remain for as long as she wishes. The space is an empty void of pale grey light in which the user floats. She can perceive nothing outside this space, and nothing outside it can perceive her. She experiences the passage of time and may act normally while in the space, though it cannot connect to the datasphere or interact with the world outside in any way.
When the user emerges from the space, she returns to the spot she left or an open space nearest to that spot, and the extradimensional space vanishes. Anything left in the space is lost.",1d6,Cloak,Cape,Bodysuit,Piece of cloth,,,,
2,57,Signal detector,"Grants the user an asset on his Intellect roll to find cyphers and, on a success, allows him to roll a d6 and add the number to the total number of cyphers found.",1d6,Monocle,Spectacles,Helmet with visor,Small handheld device,,,,
2,58,Skill boost,"Dramatically but temporarily alters the user’s mind and body so that one specific physical action they can perform is eased by three steps. Once activated, this boost can be used a number of times equal to the cypher’s level, but only within a 28-hour period. The boost takes effect each time the action is performed, so a level 3 cypher boosts the first three times the action is attempted. The action can be one of a number of possibilities:
01–15 Melee attack
16–30 Ranged attack
31–40 Speed defense
41–50 Might defense
51–60 Intellect defense
61–68 Jumping
69–76 Climbing
77–84 Running
85–92 Swimming
93–94 Sneaking
95–96 Balancing
97–98 Perceiving
99 Carrying
00 Escaping",1d6,Pill,Ingestible liquid,Injector,,,,,
2,59,Sleep inducer,Touch or ingestion puts the victim to sleep for ten minutes or until awoken by a violent action or an extremely loud noise.,1d6,Pill,Ingestible liquid,Fingertip cusp,Ring,Glove,Injector,Gas sprayer,
2,60,Sleep watch,"The insect sinks a dozen threads into the user’s skull until they reach his brain. The device remains active for 28 hours. During this time, the user perceives through the bug and has an asset for any task to perceive. If he sleeps during this time, he can wake up whenever he chooses.",1d6,A flat insect with seven legs that must be fitted onto the user’s face,,,,,,,
2,61,Sleeper spray,This aerosol compound causes any living creatures that breathe it in to fall asleep instantly. The effect lasts for ten minutes.,1d6,Wrist-mounted sprayer (immediate range),Spray canister,,,,,,
2,62,Smart bugs,"Upon ingestion, the microbes enter the body and begin to do the task they were created for: targeting and enhancing a specific part of the body. The GM should roll d100 ahead of time to determine the effect:
01–50 Brain bugs: The user experiences a heightened mental acuity that makes it feel like her brain is tingling. Grants +2 to her Intellect Edge for one hour.
51–75 Fast-twitch bugs: The user’s muscles begin to quickly tighten and release, creating the sensation that her muscles are jumping beneath her skin. Grants +2 to her Speed Edge for one hour.
76–00 Meat bugs: A few seconds after ingesting the microbes, any lingering sense of exhaustion or pain slips away from the user’s muscles. Grants +2 to her Might Edge for one hour.",1d6,Pill,Tablet,,,,,,
2,63,Snake eye,The eyelike sensor on one end of this cable allows anyone holding the other end to see what it sees. Lasts for one hour.,1d6,A synth cable 15 m long,,,,,,,
2,64,Snake in the grass,The device can safely and secretly carry messages or other small objects across long distances and then return home undetected.,1d6,Mechanical homing automaton about 1 m long and 15 cm in diameter,,,,,,,
2,65,Snow lens,"Protects wearer from snowblindness, extremely bright light, and other light- or vision-based damage. User gains +1 to Armor against these types of attacks for 28 hours.",1d6,Eye drops,Eye injector,Eye smear,Disposable goggles,Glasses,Glass contact lenses,Full face mask with special lenses,
2,66,Solar reviver,"When applied to a device such as a cypher or an artifact during daylight hours, the patch increases the effect of the next use of the device (such as providing additional damage or healing equal to the patch’s level, increasing the distance from close range to long range, and so on). When applied to an expired device, the patch repowers it once, allowing it a single additional use.",1d6,"Sticky, bendable patch",,,,,,,
2,67,Solid light gloves,The user’s hands are sheathed in gloves made of solid light for one hour. The user can touch or handle dangerous substances as though he had 12 Armor. This protection does not apply to combat situations.,1d6,Ring,Bracelet,,,,,,
2,68,Sound amplifier,"Amplifies sounds within immediate range so they can be heard up to 2 km away. The amplified noise lasts for a few minutes. Until the effect ends, everyone within immediate range of the device becomes deafened while it emits sounds.",1d6,Full bodysuit,Headband,Metallic disc that hangs from a chain,,,,,
2,69,Spatial distorter,Emits a field around the user that lasts for one minute. The field makes her appear to be far away to creatures that are more than an immediate distance from her. This distortion decreases the difficulty of her Speed defense rolls by one step when she is attacked by creatures at that distance.,1d6,harness,Necklace,Helmet,Handheld device,,,,
2,70,Spine spheres,"Each of these bioengineered, poisonous devices is about the size of a thumbnail. Once activated, they scatter across the floor, covering an area of immediate radius, and then become invisible. Anything passing through the area steps on at least one sphere, and those who are affected by the poison suffer Speed damage equal to the cypher level, fall prone, and cannot stand for one round.",1d6,"Clear synth tube filled with living, spiny spheres",,,,,,,
2,71,Standstill,"This device projects an electric shock that causes a living target’s muscles to seize up, rendering him immobile for one round.",1d6,Wristband projector (close range),Handheld projector (close range),,,,,,
2,72,Stone guts,"Any time within 1d6 hours after activating the device, the user can vomit the contents of his stomach anywhere within immediate range. The liquid hardens to the consistency of concrete within a few seconds of being exposed to air. The amount of vomit is enough to cover a human-sized creature. A covered target cannot move until it breaks free or someone else frees it by shattering the rocklike shell. The difficulty of this task is equal to the cypher level.",1d6,Pill,Ingestible liquid,Injector,,,,,
2,73,Store-all,"A user can pull and stretch the box, increasing its dimensions to a maximum size of a 15 m cube. The container’s size can only be increased, not decreased, and once stretched out, it can never be restored to its original size. When the lid is closed, the box is watertight.",1d6,Small box with hunged lid,,,,,,,
2,74,Stronghold,Allows the user to lift and carry twice as much weight as normal with minimal exertion for one hour.,1d6,Unfolding synth harness,,,,,,,
2,75,Swarm herder,"The device launches a tiny pointed capsule that moves at great speed. If it hits a living creature, it punctures the skin or exoskeleton and explodes, instantly releasing a compound of pheromones and impulsecontrolling nanites. In response, the creature attempts to round up other members of its herd or group and move them away from combat to an area of perceived safety. If the creature is solitary, the cypher has no effect (or may cause it to attempt to round up whatever other creatures are nearby, including the PCs, as though they were part of its herd). The effect lasts for ten minutes.",1d6,Adheres to temple and launches projectile,Handheld device that launches projectile,,,,,,
2,76,Talio's compass,"Pinpoints a source of metal within living tissue and can draw it out. If used to remove a dangerous object (such as a projectile) from a living creature, the device restores a number of points equal to the cypher level to the creature’s Might Pool.
If used to discover and remove a beneficial or benign object (such as an implant) from a living creature, the device does 2 points of damage.",1d6,Handheld device,,,,,,,
2,77,Task drone,"When activated, this drone flies up to a long distance and performs one simple task with its tendril arm, such as pull a lever, open a door, lift an object, or push an object. Returning to the user can be a part of the task (so the drone can go get something and return with it). The drone has the strength of a normal human and is a creature of a level equal to the cypher level, with 1 Armor. It cannot make attacks and ceases to function after it performs its single task.",1d6,Small winged device with a tendril anding in a hand,,,,,,,
2,78,Tether,"Fires a metal spike at a target within range that inflicts 2 points of damage. Then, as part of the same action, the spike shoots a second metal spike at a different target within immediate range of it that inflicts the same damage. The spikes are connected by a tether. Until either target uses an action to remove the spike, neither target can move away from the other.",1d6,Handheld proejctor (short range),,,,,,,
2,79,Third man,"When activated, the device creates the perception of an unseen presence among the party. This presence provides a sense of comfort and support to all members of the group (except the one who activated the device), giving them each an asset to a task of their choosing for one hour.",1d6,Handheld device,,,,,,,
2,80,Three-part alarm,"When activated, three sensor pieces detach from the main device. Each piece can be placed anywhere within 1 km of the main device. For 28 hours, if anything larger than a small dog moves within an immediate distance of one of the sensors, the main device indicates this fact and tells the user which sensor was activated.",1d6,Handheld device,,,,,,,
2,81,Time auger,"Allows the user to “drill” through time the way that one might drill through wood. The user doesn’t move through time, nor is he able to affect the past or the future. Instead, he creates a timehole that allows him to see thirty seconds into the future for the next ten minutes.
As soon as he moves his eye away from the timehole, it collapses.",1d6,Handheld drill-like device,,,,,,,
2,82,Time capsule,"Anything placed inside the container does not experience time’s passage for 1d20 years. At the end of this period, or if the contents are removed before then, the cypher becomes inert.",1d6,A metallic container large enough to hold a human-sized creature,,,,,,,
2,83,Time delay,This device can be affixed to any other cypher and activate it by timer. The user can set the timer for up to one week.,1d6,Very small nodule,,,,,,,
2,84,Time dilation nodule,"For the next 28 hours, the wearer of the armor moves in seemingly random, rapid jumps, a few inches to one side or the other, when attacked. This is an asset that eases attacks by two steps (three steps if the cypher is level 6 or higher).",1d6,Crystal nodule affixed to armor,,,,,,,
2,85,Time dilation nodule (offensive),"For the next 28 hours, the attacker moves at almost instantaneous speeds when they swing the weapon, easing their attacks by two steps (three steps if the cypher is level 6 or higher).",1d6,Crystal nodule affixed to a melee weapon,,,,,,,
2,86,Tracer,"Fires a microscopic tracer that clings to any surface within short range (long range if the cypher is level 4 or higher, very long range if the cypher is level 6 or higher). For the next 28 hours, the launcher shows the distance and direction to the tracer, as long as it is in the same dimension.",1d6,Wristband,Handheld device,,,,,,
2,87,Tranquility pod,"This device wraps around the user’s head to provide a unique sensory experience, eliminating all external sounds, smells, and sights. Instead, the wearer experiences soothing sounds, soft light, and gentle vibrations. If he wears the pod for ten minutes, the experience restores a number of points equal to the cypher level to a single Pool of his choosing.",1d6,Submersion hood,,,,,,,
2,88,Transformation torque,"Placing the necklace around your neck activates the device, which then sends small projections (similar to cilia) beneath the skin. These projections release a genetic compound that causes a mutation in the wearer for one hour.
Additionally, the necklace houses a visage changer, which allows the wearer to hide his mutation if desired. If that’s the case, the wearer gets the effects of the mutation but others cannot see, hear, or otherwise sense the mutation. Different necklaces have different effects. Roll d100:
01–50 Causes a beneficial mutation
51–80 Causes a powerful mutation
81–90 Causes a harmful mutation
91–95 Causes a distinctive mutation
96–00 Causes a cosmetic mutation
To determine the specific mutation caused by the device, GMs can choose or roll randomly on the mutation tables on page 124 in the Numenera corebook.",1d6,Necklace made of malleable metal and biotech elements,,,,,,,
2,89,Transient inscriber,"The device allows the user to write or draw a message on any living or nonliving object, covering up to 3 feet by 1 m by 1 m. After a few minutes, the hydroponic creatures begin to dry out and their glow fades, rending the image invisible.
The message or image can be seen again by adding a drop of liquid to the general surface area. This causes the creatures to glow again for about one minute before they extinguish fully.",1d6,"Handheld spray device or bottle and liquid brush, filled with a swarm of tiny bioluminescent, hydroponic creatures",,,,,,,
2,90,Variable tool,"The device becomes a mundane weapon, adventuring item, or common or rare special item for one hour.",1d6,Small handheld device,,,,,,,
2,91,Verdant nectar,"Causes the user’s skin to turn green for ten days. Until the effect wears off, the user does not need to eat during a day provided that he spends at least four hours in sunlight during that day. The hours need not be consecutive.",1d6,Ingestible liquid,Injector,,,,,,
2,92,Visage changer,"Changes the appearance of one humansized creature, providing an asset to disguise tasks (easing them by two steps if the cypher is level 5 or higher). The change takes ten minutes to apply and lasts for 28 hours.",1d6,Pill,Injection,Tube of moldable paste,,,,,
2,93,Vision subjugator,"Inhibits brain function in a target within short range for one hour so that the target’s vision is affected. The user can specify one category of creatures, objects, substances, and so on that the victim cannot see. The effect is extremely specific, so that if “humans” are selected, the victim cannot see people but would still see clothing worn, objects carried, and so on. Possible categories might include (but are not limited to): metal, vapor, water, mammals, synth, weapons, numenera, the color blue, and plants. It’s worth noting that this does not grant the victim X-ray vision. If he cannot see stone and he stands next to a stone wall, his brain creates what he sees instead out of whole cloth based on the context of what he can see. This can lead to seriously delusional behavior.",1d6,Ingestible liquid,Injector,,,,,,
2,94,Visual displacement device,Projects holographic images of the wearer to confuse attackers. The images appear around the wearer. This gives the wearer an asset to Speed defense actions for ten minutes per cypher level.,1d6,Belt,Bracelet,Handheld device,,,,,
2,95,Vocal changer,"Changes the pitch, timbre, pronunciation, and other audio characteristics of one creature to match those of another (or as desired). The change lasts for 28 hours.",1d6,Pill,Injection,Choker collar,,,,,
2,96,Vocal translator,Translates everything said by the user into a language that anyone can understand for 28 hours per cypher level.,1d6,Pill,Ingestible liquid,Headband,Disc held to forehead,,,,
2,97,Warming pouch,"When you put an object into the cloth bag and activate the string closure, the object heats to human body temperature within one minute. If the object isn’t removed, the pouch will keep it at body temperature for 28 hours.",1d6,Cloth bag,,,,,,,
2,98,Warmth projector,"Keeps the user warm and comfortable in the harshest cold temperatures for 28 hours. During this time, the user has Armor equal to the cypher level that protects against cold damage.",1d6,Subdermal implant,Bodysuit,Belt,Injector,,,,
2,99,Water breather,Allows an air breather to extract oxygen from water for five hours per cypher level so they can breathe underwater.,1d6,Pill,Ingestible liquid,Injector,,,,,
2,100,Way back,"When activated and hung from the user’s belt, bag, or similar gear, the device releases contained droplets of radioluminescent light every 15 m. The droplets stay dark for one day, then crack with light and become visible for five days.",1d6,Belt bag,,,,,,,
3,1,Weaver drone,"Responding to simple voice commands, the weaver drone can climb almost any surface, releasing the strong synth cable out behind it as it travels in a simple or complex pattern. Once the cable runs out, the drone anchors itself (and the end of the cable) to a designated place and shuts down permanently. As long as the cable is anchored by the drone, it can sustain the weight of up to two average-sized people at a time.",1d6,A spiderlike automaton equipped with a 15 m spool of strong synth cable,,,,,,,
3,2,Witless powder,"To activate the device, the user blows through one end of the tube to propel the cartridge’s contents out the other at a creatue within immediate range. If the creature is hit by the powder, and its level is equal to or lower than the cypher level, it becomes stunned for one minute. During this time, if the user speaks to the target in a language the target can understand, she can implant a suggestion in the target’s mind. This suggestion is a course of activity the target must follow under the specific conditions the user describes. The course of activity can be anything she chooses, though it cannot be anything that poses a significant risk to the target’s life, property, or loved ones. The conditions can be as general or as specific as the user decides. If the described conditions happen during the next 28 hours, the target behaves as instructed.",1d6,A thin metal tube with a fragile powder cartridge in the center,,,,,,,
3,3,Wrist launcher,"Launches a small object (such as a dart, a stone, or a detonation cypher) up to long range. If the object is hard (preferably pointed), it inflicts 4 points of damage. A detonation inflicts its own explosive damage.",1d6,Wrist-mounted device,,,,,,,
3,4,Access glasses,"Goggles plus gloves or rings Effect: The user can see through up to half an inch of solid material and can pass his hands and anything his hands are holding through that solid matter. Once the area to be looked and passed through is chosen – about 18 inches by 18 inches (46 cm by 46 cm) – a new area cannot be chosen. However, the effect lasts for an hour.",1d6+1,Goggles + gloves/rings,,,,,,,
3,5,Adamant foam,"The foam in this canister is extraordinarily light – almost weightless, lighter than a soap bubble – and virtually invisible. It’s possible, in fact, to have this foam in your hand and not even realize it. And yet the foam, which dries on contact with the air, is superstrong. While pliable, it’s as unbreakable as steel mesh. The canister has enough foam to coat an area 2 m by 2 m with a thin layer.
Although this foam has many uses, if sprayed on a living target, that target has +2 to Armor.
Adamant foam disintegrates after 28 hours.",1d6+1,Small spray canister,,,,,,,
3,6,Blood boiler,Causes an increase in blood flow to any stimulated body parts. Adds 1 to Might Edge for one hour.,1d6+1,Pill,Ingestible liquid,,,,,,
3,7,Blue crystal,"When one gazes through a blue crystal, for a brief moment she can view a spot corresponding to her current position in a parallel universe. Moreover, the view is set a few moments in the future. However, since the crystal shows a parallel universe, the future seen may or may not be an accurate reflection of her reality. The user, then, sees a possible future. Normally, there is about a 30% chance that the glimpse is entirely accurate and a 30% chance that it is partially accurate, but these numbers depend on the circumstances.",1d6+1,Small blue crystal,,,,,,,
3,8,Camouflage spray,An inanimate object (or group of objects) small enough to fit into a cube that is 3 m by 3 m by 3 m can be quickly coated so that its color and texture blend into its surroundings perfectly.,1d6+1,Canister,,,,,,,
3,9,Clamp trap,"When activated, this device becomes a pressure-plate trap that clamps around anything that triggers it. The device is similar to a bear trap, except that when it is fully activated, it becomes invisible. Once triggered,it inflicts damage equal to the cypher level, plus 1 additional point of damage per minute until it is removed.",1d6+1,Mouthlike metal clamp,,,,,,,
3,10,Communication discs,"These cyphers usually come in pairs (although each is its own cypher). They allow verbal communication between their users at any distance. Both cyphers must be activated at the same time, and they function for 28 hours.",1d6+1,Small synth discs,,,,,,,
3,11,Comprehension graft,"When applied to a creature’s head, the disc immediately unleashes microfilaments that enter the brain. Within five minutes, the creature can understand the words of a specific language keyed to the graft (two languages if the cypher is level 5 or higher). This is true even of creatures that do not normally have a language. If the creature could already understand the language, the cypher has no effect. Once the graft attaches, the effect is permanent, and this device no longer counts against the number of cyphers that a PC can bear.",1d6+1,Small metallic disc,,,,,,,
3,12,Construction foam,"The canister produces a vast amount of foam. This foam can easily be shaped into whatever form the user wishes that equals about four 3 m cubes – the size of a small house or a wall that’s 0.3 m, 3 m high, and 122 m long. This probably takes about twenty minutes. The foam dries quickly (in about a half hour) and hardens to the strength of steel, but it remains fairly lightweight. The entire mass of hardened foam weighs about 91 kg.",1d6+1,Large canister,,,,,,,
3,13,Distance activator,"When the nodule is detached and connected to any other cypher, the user of the distance activator can activate that cypher from a range of up to 2 km.",1d6+1,"Handheld device with a small, detachable nodule",,,,,,,
3,14,Duplicator,"When one end of the device is touched against a creature, a mass of gelatin sprays out the other end. Within three rounds, the gelatin creates what appears to be an exact living copy of the touched creature, including clothing and equipment, but it’s a spongy facade. The copy is a level 1 creature with minimal intelligence that follows simple commands, but complex thought and emotions are beyond its capabilities. The copy lasts up to 28 hours, at which time it melts and evaporates.",1d6+1,"Synth cylinder etched with fine, glowing lines",,,,,,,
3,15,Ejection nodule,"For the next hour, each time the weapon the nodule is attached to strikes a solid creature or object hard enough to inflict damage (but no more than once per round), the target of the strike teleports to a random location within a radius of 100 × the cypher level in feet.",1d6+1,Crystal nodule affixed to a melee weapon,,,,,,,
3,16,Eyestalk graft,"This organic object grafts directly and immediately onto the flesh of the user’s head. The eyestalk functions for 28 hours, during which time the user has an asset for all perception tasks and can look surreptitiously around corners.",1d6+1,A large bulbous eye with a 15 cm stalk,,,,,,,
3,17,Fangs of the Reaver,"Upon activation, the sphere opens to reveal nasty metal teeth. It flies at a single target within short range that the user chooses, and it attacks as a creature of a level equal to the cypher level. It continues to attack that target for a number of rounds equal to the cypher level or until the target is dead, whichever comes first.",1d6+1,5 cm metal sphere,,,,,,,
3,18,Flow,"Enables the user to move more rapidly by harnessing momentum gained from movement. Once per round, when the user takes an action to move, she gains another action that she must use at once. She can use this action only to move. The effect wears off after one hour.",1d6+1,Pill,Ingestible liquid,Ingestible powder,,,,,
3,19,Foam limb,"If sprayed upon a creature, the foam builds an arm with a hand that mimics one of the creature’s existing limbs in appearance, if possible. (If not applicable, the default limb is a long, sinewy arm with a three-fingered hand.) The foam arm hardens to the consistency of the creature’s flesh and can be used by the creature as if it were its own. The new arm does not grant the creature additional actions or attacks in a round, but it can be useful for carrying things. If the arm is harmed, the creature suffers no ill effect. The arm lasts for 28 hours.",1d6+1,Canister,,,,,,,
3,20,Foam sprayer,"This device sprays foam on a target within immediate range. There is enough foam to cover up to three humans standing next to each other (or one larger target). Different kinds of foam have different effects. Roll a d6 to determine the foam in a given canister:
1 Hardens: All movement is halved, and the difficulty of all physical actions is increased by two steps for ten minutes.
2 Caustic: The foam burns like acid, inflicting 4 points of damage on the first round and 2 points of damage on the second round before becoming harmless.
3 Caustic and hardens: All movement is halved, the difficulty of all physical actions is increased by two steps for ten minutes, and the target suffers 4 points of damage.
4 Dampens energy: If sprayed upon any numenera item (or if the target is in possession of numenera items), the item’s effective level is lowered by 4 for ten minutes. If this effect reduces the level of the item to 0, the item will not function for that time. Nonpowered numenera items, like pills, are not affected.
5 Dissolves metal: The level of a metal item covered in the foam is lowered by 4 permanently. If this effect reduces the level of the metal to 0, the item is destroyed.
6 Dissolves metal and dampens energy: The level of a metal item covered in the foam is lowered by 4 permanently. If this effect reduces the level of the metal to 0, the item is destroyed. Numenera items coated by the foam also have their level effectively lowered by 4 for ten minutes. If this effect reduces the level of the item to 0 or less, the item will not function for that time. Nonpowered numenera items, like pills, are not dampened.",1d6+1,Canister,,,,,,,
3,21,Ghostly duplicate,"When activated, an incorporeal duplicate of the user appears and remains for ten minutes. The duplicate does not have a mind of its own. Rather, the user controls both forms, but only one at a time. Switching consciousness between forms is an action. While the user’s consciousness focuses on one form, the other stands motionless. The duplicate moves at the same speed as the user’s normal form, but there is no limit to how far apart the two can be.
The duplicate is ghostly and translucent. It can pass through solid matter and cannot be harmed except by special transdimensional weapons and effects. It likewise cannot affect normal matter in any way. While moving as the incorporeal duplicate, the user gains an asset for all stealth tasks.
When the duplicate’s duration ends (or it is somehow destroyed), the user’s mind returns to his normal body. If the normal body is slain, the user stays in the duplicate, but only for the remaining duration.",1d6+1,Bracelet,Necklace,Ring,Handheld device,,,,
3,22,Glass flame pellets,"If thrown – as a group – at the floor, the pellets burst into flame, filling the immediate area with fierce flames that burn for 28 hours, inflicting 6 points of damage to anyone in or passing through the area. There is just barely enough time for a character to drop the pellets and move out of the area of the fire in one action.",1d6+1,Handful of glass pellets,,,,,,,
3,23,Glass scorpion,"When activated, the glass scorpion immediately moves in the direction it is pointed until it comes upon a living creature at least the size of a hound. It then attacks with the needlelike stinger in its tail as a creature of a level equal to the cypher level. The scorpion injects a poison that inflicts 3 points of damage per round for a number of rounds equal to the cypher level.",1d6+1,Small scorpion made of glass,,,,,,,
3,24,Grub armor,"This cypher requires a bit of water to activate the dried worms in the can. Once activated, the grubs grow to enormous size in 1d6 rounds and swarm over the user’s body, providing +2 to Armor for one hour. Further, if the user is targeted by an effect that specifically affects a single creature, such as something that controls or reads her mind, one of the grubs is affected instead, effectively rendering the user immune to such things for the duration. This does not apply to straightforward physical attacks of any kind.",1d6+1,Canister of dried worms,,,,,,,
3,25,Healing nodule,"Once activated, this nodule functions for ten minutes. Whenever the weapon that the nodule is affixed to strikes a foe (or any hard surface), 1 point is restored to the wielder’s Might Pool. The nodule cannot restore more than 1 point per round.",1d6+1,Crystal nodule affixed to a melee weapon,,,,,,,
3,26,Heartlink,"This device is keyed to the heartbeat of the user, so that if he dies, a designated intelligent creature will be informed telepathically.",1d6+1,Pill,Implant,Ring,Bracelet,Pendant,,,
