d6/2,d100,ARTIFACT,DESCRIPTION,LEVEL,DEPLETION,FORM,
1,100,Pyroclastic Staff,"A user can wield this device as a normal quarterstaff. It also has two functions, which can be activated by pressing one of its two buttons.
The first function causes a short jet of bright blue flame to rise from one end. The flame emits bright light out to a short distance. In addition, the staff inflicts 2 additional points of fire damage that ignores Armor. The flame burns for up to one hour.
The second function causes a blast of flames to wash out from one end at up to three targets within immediate range. The flames inflict burn damage equal to the artifact level.",1d6,1 in 1d20,A long metal pole with a handle in the middle and two buttons above it.,
2,1,Remnant Reader,"When activated and slowly passed over bones, skin, or some other bit of organic tissue, the device “reads” the material and compares its composition to information stored in the datasphere. After one minute, the device emits a tiny shimmering hologram that reveals what the creature looked like when it was alive. This image lasts for about a minute and then flickers before disappearing altogether.",1d6,1 in 1d100,A small handheld device.,
2,2,Ring of Iron Wind,"When activated prior to the arrival of a storm, the device implodes, creating a gravitationally null ring about 2 m in diameter and 2 m tall. The space inside the ring is protected from the majority of all external effects (including heat, cold, rain, wind, and storms) for a number of hours equal to the artifact level.",1d6,1 in 1d6,Freestanding device with small control panel.,
2,3,Roving Eyes,"The spheres float in the air, moving in designated patrol patterns assigned to them by the user, moving no more than 91 m before they return to their starting point. Each sphere can have its own pattern, but once set, it cannot be changed. At any time, the user can see on the synth panel what any one of the spheres sees with its eye. The glass eyes see with the same ability as a human’s.",1d6,1 in 1d20,"A clear synth panel and 1d6 + 4 metal spheres with glass eyes, each about the size of a fist.",
2,4,Seated Lift,"When a person sits in the device, she can use a small dial on the right side to be lifted up to 1 m in the air. The device holds only one person at a time. While active, it gives a few inches in any direction when pushed, but it never moves more than that.",1d6,1 in 1d20,A series of fabric straps that open to form a seat like a swing.,
2,5,Second Hand,"Putting on the gloves causes them to merge with the wearer’s skin, and they can never be removed. The wearer has an asset on all tasks that involve perceiving by touch.",1d6,–,A pair of skintight gloves made from synthetic material woven with circuitry.,
2,6,Smoke Helm,"When worn, the helmet synthesizes a telepathic smoke from the wearer’s breath.
If someone else inhales the smoke, they feel everything the wearer feels for one hour. (If two people wear the helmets, they can “trade” sensations with each other for one hour.)",1d6,1 in 1d20,A hood or helmet designed to be worn on the head.,
2,7,Snail Shell,"Up to two cyphers can be placed within the snail’s shell, as long as each is no larger than a typical handheld device. Thanks to the specially designed material of the shell, these cyphers do not count against a character’s cypher limit.
The metal shell has a built-in lock that requires a spoken password to open (set by the user). It’s very difficult to tell from looking at the shell that it is anything more than a whimsical object.",1d6,1 in 1d20,"A sculpted snail with a hollow, insulated shell made of expandable, malleable metal.",
2,8,Spinneret Ring,"When the stronglass is lightly stroked, the spider inside reacts by releasing a thin, incredibly strong steel cord through a small hole in the stronglass. Each cord is about 6 m long. If firmly attached to something, the cord can hold up to 136 kg. Additionally, it can be used as a snare, a whip, or a similar device to cause damage equal to the artifact level + 2.",1d6,1 in 1d6,Clear stronglass locket ring that houses a tiny biomechanical spider.,
2,9,Stimulation Stem,"This 1 m tube can be attached to the flesh of two biological, sentient creatures via the ever-grasping mouths. Once the teeth sink in, the tube is attached for five minutes (pulling it off before that kills the cellular tissue and renders the device useless). If both creatures are in agreement, one of them can siphon 1d6 Might points from the other via the tube. If the device senses that one or both participants are not amenable to the exchange, it draws 1d6 Might points from both creatures.
When not pulled tight, the tube self-coils for easy carrying.",1d6,1 in 1d20,"Biological tube synthesized from living cellular tissue, with a toothed “mouth” at each end.",
2,10,Synthsteel Shield,This shield is far hardier and still somewhat lighter than Ninth World smithing techniques could ever manage with steel. It grants an additional +1 bonus to Speed defense rolls in addition to the asset that shields normally grant.,1d6,–,Synth shield.,
2,11,Telescopic Beast,"Once the creature is unfolded, the user may control it via voice for 28 hours. It can understand and carry out simple commands such as moving laterally, staying stationary, reforming into a cube, and telescoping up and down (it can raise its body up to 3 m with a single person standing on top of it). Action to unfold.",1d6,1 in 1d6,Pocket-sized cube that unfolds into a box-shaped automaton about 0.3 m by 0.3 m with four telescoping legs.,
2,12,Thoughtlight,"When touching (or practically touching – through clothing, for example) a living, thinking creature, the thoughtlight gives off light like a torch, powered by the brain waves of the creature. The moment the user stops thinking (which is to say, is very likely dead), the light goes out.",1d6,–,A small synth box that lights up on one side.,
2,13,Traveling Coiffeur,"Provides the user with the opportunity to completely change her hair style (including facial hair) via a complicated contraption of electronic blades, ray emitters, and modified hairspiders. A control panel along the side of the device shows myriad style options, from completely bald to long, spiderspun tresses in various colors. The user must choose her desired option ahead of time (28 hours prior to being used) to allow the device time to prepare.",1d6,1 in 1d20,Large bubble-shaped helm that fits over a person’s head and houses a complex chamber inside.,
2,14,Twin Mirrors,"When a character looks into one mirror, he sees out the other and vice versa regardless of the distance that separates them.",1d6,–,Two 0.3 m diameter disks.,
2,15,Usurper,"Activating the device causes the two prongs to fire at a target within immediate range. The target takes 1 point of electrocution damage, and if the target’s level is equal to or less than the artifact level, the user takes control of the target for one minute provided that the user and the target are within an immediate distance of each other. If either exceeds this distance, the target regains control of itself.",1d6,1 in 1d6,A small handheld device with two \prongs extending from the end.,
2,16,Void Clamp,"The device activates when the clamps are placed on any object that can fit inside a 6 m cube. The clamps bond with the object and make it weightless. Anyone can lift it and move it by gripping the handle. The device can be detached at any time (not an action), and the object regains its normal weight.",1d6,1 in 1d20,A metal bar with clamps on either end.,
2,17,Void Knife,"When the device is gripped, an invisible blade extends out from the cylinder, allowing the wielder to use this device as a dagger.",1d6,–,A cylinder about the size of a knife handle.,
2,18,Vox Scrambler,"Whenever the user speaks while wearing this device, her words sound normal to those within immediate range, but they sound like gibberish to those farther away.",1d6,1 in 1d100,A mouthpiece secured with a thick strap that wraps around the head.,
2,19,Water Skimmers,"Anyone wearing these water skimmers over their regular footwear can stride quickly across liquid surfaces up to 6 m deep without sinking or getting wet.
Wearing water skimmers while on land offsets the wearer’s center of gravity, increasing the difficulty of all movementbased actions by one step.",1d6,–,Black and silver covers for footwear sporting thick heels layered with hydrofuge hairs.,
2,20,Weapon Mount,"The mount must be surgically and permanently attached (a task equal to the artifact level). The procedure takes about an hour in a skilled chiurgeon’s hands.
Once attached, the mount can hold a light or medium weapon, and the user can attack with that weapon as if he was wielding it.",1d6,–,A thin mechanical arm grafted to a person’s back.,
2,21,Woodwind of the Broken,"This musical instrument can be played normally, but it has one setting that produces no obviously audible noise. If a tune is played on this setting in any area open to dry wastes, temperate lowlands, or mountains, a pack of 2d6 + 6 broken hounds arrives within a few hours or less at the location where the instrument was played. Once summoned, the broken hounds revert to their normally vicious demeanor.",1d6,1 in 1d20,A flutelike musical instrument.,
2,22,Analyzing shield,"The bearer can see through this shield, and it has a display that analyzes the best place to strike a foe viewed through it. The bearer can use points from their Intellect Pool (rather than the more typical Might or Speed) to increase the damage of their attacks by 3 additional points per level of Effort.",1d6+1,-,Transparent synth shield.,
2,23,Bounding boots,The boots negate gravity enough to make jumping and running easier. The boots are an asset for jumping and running (easing by two steps for one of these skills if the artifact is level 6 or higher).,1d6+1,-,Ninth World-made leather boots with small metal and synth devices worked into the sides.,
2,24,Disruption blade,"This weapon functions as a normal sword (or, rarely, an axe or a cleaver). However, if the wielder uses an action to activate it, the weapon radiates a field of molecular disrupting energy for one round. During that round, if it scores a hit, it inflicts an additional 10 points of damage. If the artifact is level 6 or higher, it is an asset on the attack roll.",1d6+1,1 in 1d6,Sword or similar bladed weapon with devices affixed to the blade and hilt.,
2,25,Drill Spear,"This spear functions as a normal spear. If the wielder uses it to attack a foe, upon a successful hit the wielder decides whether to activate the weapon. Upon activation, the wielder lets go of the spear, and it drills into the foe, inflicting an additional 3 points of damage. However, the wielder then is no longer holding the spear. The drilling function works only in melee combat because activation occurs after the foe is struck.",1d6+1,1 in 1d20,A wooden shaft with an affixed spearhead that appears to be a metallic drill.,
2,26,Hover Belt,"The wearer can float up into the air or back down again at a rate of 6.1 m per round. Using the complex controls, the wearer can move horizontally at a much slower pace (1.5 m per round) in a much less stable or controlled trajectory. The belt works for ten minutes per use.",1d6+1,1 in 1d20,Odd-fitting metallic mesh belt that has a metal box attachment with dial controls.,
2,27,Instant Bridge,"This device fires a cable with a powerful magnet in long range. When the magnet strikes a metal surface, it affixes itself, and the taut cable extends into a narrow bridge about 0.9 m wide. The device can then be affixed to another metallic surface to anchor the bridge. When deactivated, the magnets let go and the cable retracts.",1d6+1,1 in 1d20,A handheld device with a few controls.,
2,28,Kinetic Shield,"When a physical projectile such as an arrow, a thrown knife, or a bulletlike missile comes within 10 cm of the wearer’s body, a powerful energy field activates automatically and attempts to slow down or deflect the projectile. The difficulty of the wearer’s Speed defense against such attacks is modified by one step in his favor. If the projectile still hits the wearer, the field adds 1 to Armor against the attack.",1d6+1,1 in 1d20,A wristband or armband with a small metallic device attached.,
2,29,Living Armor Sheath,"When worn over normal skin, this organic material adheres and conforms to the creature’s body shape. The wearer is trained in Might defense tasks to resist poison and disease. Further, she has +2 to Armor with no hindrances. However, she cannot wear armor over the living sheath because it’s too bulky.",1d6+1,1 in 1d100,"When not affixed to a creature, this looks like a mass of heavy fabric. On a creature, it looks like heavy, leathery flesh.",
2,30,Poison Brain Implant,"When swallowed, this implant travels to the brain and nests there. Henceforth, whenever a creature establishes contact with the character’s mind (using mental attack, telepathic communication, mind control, and so on), the creature is attacked mentally. It is stunned for one round (losing its action) and takes Intellect damage equal to the artifact’s level. This effect does not prevent the contact.",1d6+1,–,Capsule.,
2,31,Second Skin,"When stretched over a creature’s normal skin, this organic material adheres and conforms to its body shape. While wearing the second skin, the creature has an asset in Might defense tasks to resist poison and disease.",1d6+1,1 in 1d100,"When not affixed to a creature, this looks like a mass of diaphanous fabric. On a creature, it is almost invisible.",
2,32,Shock Manacles,"Not only are these restraints binding, but they also inflict their level in damage whenever the wearer attempts to break free. Once active, the manacles operate for 28 hours.",1d6+1,1 in 1d20,A lightweight pair of metal or synth manacles.,
2,33,Slugspitter,"With a quiet sound like a puff of air, this device fires a tiny slug of metal with a range of 61 m. It inflicts damage equal to the artifact’s level.
This device is a rapid-fire weapon, and thus can be used with the Spray or Arc Spray abilities that some glaives and jacks have, but each “round of ammo” used or each additional target selected requires an additional depletion roll.",1d6+1,1-2 in 1d100,long device with a narrow metal tube.,
2,34,Suspensor Belt,"This belt negates gravity enough to make all movement easier, granting the wearer a +1 bonus to his Speed Edge. Alternatively, a grossly obese creature could wear the belt simply to function normally.",1d6+1,–,A belt with a number of brass discs affixed to it.,
2,35,Vuechi,"Once activated, this device follows within 0.9 m of you and attacks anyone or anything within immediate range that attacks you. A vuechi attacks with a burst of electricity (up to immediate range) that deals electricity damage equal to its artifact level. Once activated, it functions for 28 hours.",1d6+1,1 in 1d20,A 10 cm silver sphere that hovers in the air.,
2,36,Windrider,"This is a vehicle that can be ridden by someone who makes Speed rolls (level 1) each round. In combat, it moves a long distance each round, but on extended trips, it can move up to 129 km per hour.",1d6+1,1-2 in 1d100,A 2.4 m metallic wing.,
2,37,Windslice Blade,This sword is made from a material so durable and dense that the edge is sharper and lasts far longer than Ninth World smithing techniques could ever manage with steel. The blade inflicts 1 additional point of damage. Its name comes from the idea that it can slice even the wind in half.,1d6+1,–,A medium-length sword.,
2,38,Bloodblade,"When inserted into the wielder’s arm, this device inflicts 3 points of damage (ignores Armor). Thereafter, the wielder can use this weapon as a light weapon that inflicts 3 points of damage. Further, when the wielder wishes it (requiring no action), the blade can absorb 3 points from his Might Pool and turn them into a powerful poison. The poison coats the blade so that a victim suffers 5 additional points of damage if affected.",1d6+1,–,A metal blade with spikes that must be inserted into the flesh of the wielder’s forearm.,
2,39,Crystal Armor,"This appears to be a harness of highly articulated plate armor, but the pieces are made of very thin crystal rather than metal. This is heavy armor. Any ray or beam attacks that strike the wearer are reflected back at the attacker. When the armor depletes, it turns to powder.",1d6+1,1-2 in 1d100,Suit of armor made of crystal.,
2,40,Demonflesh,"When activated, this ball liquefies and coats the body of the user for one hour, appearing to be a dark blue bodysuit veined with pathways of soft light. Demonflesh confers two abilities. First, the wearer can become invisible. While invisible, she is specialized in stealth and Speed defense tasks. This effect ends if she does something to reveal her presence or position – attacking, performing an esotery, using an ability, moving a large object, and so on. If this occurs, she can regain the remaining invisibility effect by taking an action to focus on hiding his position.
Second, the demonflesh wearer can inflict 3 points of damage with a touch. This attack ignores Armor as it breaks down molecular bonds, disintegrating anything that comes in contact with it.",1d6+1,1 in 1d20,A ball of dark blue synth.,
2,41,Disruptive Sword,"This broadsword inflicts 1 additional point of damage from the disruptive energy projected around the blade. This energy cannot be turned on or off, and it eats through sheaths at a rate of about one a week.",1d6+1,1 in 1d20,An energy-entwined broadsword.,
2,42,Distance Imager,"When pointed at an enclosed structure within 2 km, the screen shows the interior of that structure, room by room. The user can “move” through the structure (even through walls or other barriers) at a speed of 3 m per round. One use of the item lasts for ten rounds.",1d6+1,1 in 1d10,Synth cube with a screen and a number of controls.,
2,43,Exuvia,This form-fitting biological armor can be donned very quickly and is very light and unencumbering. It is treated in all ways like light armor but offers +2 to Armor.,1d6+1,–,"Armor made of what appears to be large animal shells (or rather, what the shell of a human might look like, if humans had shells).",
2,44,Eye Spy,"When activated, the sphere stores up to 28 hours of visual and audio information around it. The sphere can “see” and “hear” as far as an average human, and information is recorded from a 360-degree perspective around it. The information can be replayed on the sphere itself when it is activated again.",1d6+1,1 in 1d20,Large synth sphere.,
2,45,Flaming Torrent,"This sprays a gout of flame out to short range in a cone that is 9 m wide at the terminus, potentially affecting multiple targets that are close together. The flames inflict damage equal to the artifact level.",1d6+1,1 in 1d20,Short synth wand with a small synth globe at the back end.,
2,46,Flight Pack,"The wearer can move in the air for one hour, moving an immediate distance per turn in any direction. If desired, this speed can be increased to almost 161 km per hour for that hour, but doing so automatically depletes the artifact.",1d6+1,1 in 1d20,A metal device worn on one’s back.,
2,47,Gravity Suit,"This light armor not only provides +1 to Armor as expected, but it also allows the wearer to reverse gravity for herself. In other words, she can choose to “fall” upward, walk across the ceiling as if it were the floor, and so on. This change in gravity orientation is true of everything she carries, but if she lets go of an object or drops something, normal gravity takes over for that object.
It is an action to change the gravity orientation.",1d6+1,1-2 in 1d100,A light but tough full-body leather suit.,
2,48,Mobile Arm,"The bigger device is about 1 m long, with an arm that can extend out to 2 m. It is controlled by the smaller device. The larger device can be made to move across almost any solid surface, and the mechanical arm can manipulate objects in a crude fashion. It can open doors, pull levers, push buttons, pick up and drop objects that a human could pick up in one hand, push or pull objects about the size of a human or smaller, and so on. It is neither fast enough nor precise enough to make attacks. When activated, it operates for one hour.",1d6+1,1 in 1d20,A small handheld device and a larger complex mechanical device with treads and a multijointed arm.,
2,49,Ocular Graft,"This living device feeds off the nutrients in the host’s blood, so her total Might Pool is reduced by 1 while the graft is worn. She has an asset on perception tasks and can see in complete darkness as if it were dim light. Perhaps most impressive, the host can see creatures and objects within short range that are invisible, out of phase, or dimensionally displaced.
The graft inflicts 8 points of damage to the host if removed.",1d6+1,–,A fleshy mass with three eyes that fits over the head (and one eye) of a human.,
2,50,Ocular Helm,"The wearer of this strange helm sees a variety of visual sensors, clarity enhancers, viewfinders, rangefinders, and other aids to sight. She gains an asset on perception tasks and all ranged attacks.",1d6+1,1 in 1d20,A synthsteel helm with seven round eyes.,
2,51,Pincer Arm,"The arm must be surgically and permanently attached (a task equal to the artifact level). The procedure takes about an hour in a skilled chiurgeon’s hands. Once the arm is attached, the user has complete control over the limb and uses it naturally. The arm grants an asset on grabbing, grappling, and any task involving carrying or lifting. Further, the arm is considered a medium weapon if used to attack. However, the arm allows for no delicate or fine manipulation.",1d6+1,–,A metal arm with a pincer rather than a hand.,
2,52,Poisoner’s Touch,"When the wearer concentrates (taking an action), the glove secretes a small amount of nerve toxin. The next creature touched suffers Speed damage equal to the artifact level (ignores Armor) and must make a new defense roll each round or suffer the damage again until either she succeeds at the defense roll or five rounds pass, whichever comes first.",1d6+1,1 in 1d10,Very thin transparent glove.,
2,53,Power Glove,"Unarmed strikes made while wearing the glove inflict 1 additional point of damage. However, if the user takes an action to activate the glove, energy sparks between the protrusions for one round. During that round, if the attack is successful, the glove inflicts 5 additional points of damage and throws the target back a short distance.",1d6+1,1 in 1d6,An oversized metal gauntlet with thick protrusions on the knuckles.,
2,54,Replacement Hand,"To use this device, a user must hold it to the stump of an arm for at least one minute. At the end of this time, filaments bind the hand to the arm and connect with the user’s nerve endings so that it can be used as if it were a normal hand.
After the item has been attached, the user can take an action to detach the hand from the stump. The hand drops and moves about, scuttling like a spider. The user can control the hand and perceive through it out to a short distance. The hand is a level 1 creature under the user’s control and has a target number of 3, inflicts 1 point of damage, and has 3 health. The hand can remain separated for up to one hour. At the end of this time, the device powers off and must be reattached for at least one hour before it can be separated again.",1d6+1,1 in 1d20,A metallic hand.,
2,55,Skin of Fire Sloughing,"When stretched over a creature’s normal skin, this organic material adheres and conforms to its body shape. While wearing the skin, the creature gains +5 to Armor against damage inflicted by fire.",1d6+1,1 in 1d100,"When not affixed to a creature, this looks like a mass of diaphanous fabric. On a creature, it is almost invisible.",
2,56,Skin of Water Breathing,"When stretched over a creature’s normal skin, this organic material adheres and conforms to its body shape. While wearing the skin, the creature can breathe normally both in air and underwater, and is not adversely affected by extreme pressure or sudden changes in pressure.",1d6+1,1 in 1d100,"When not affixed to a creature, this looks like a mass of diaphanous fabric. On a creature, it is almost invisible.",
2,57,Smart Boots,"When activated, the boots allow the wearer to move across rough or difficult terrain, walk up walls, and even walk across liquids without penalty to movement for one hour. In a low-gravity or zero-gravity environment, the boots adhere to a surface and allow the wearer to walk normally.",1d6+1,1 in 1d100,A pair of boots.,
2,58,Smart Cape,"It takes one round to slip into the cape, pull up the collar, and seal the front. When activated, the cape provides +3 to Armor against damage from fire, electricity, radiation, and most forms of energy.",1d6+1,1 in 1d100,Collared cape.,
2,59,Smart Helm,"When activated, the helm allows the wearer to breathe in any medium, including water, a poisonous atmosphere, or even the airless void, for one hour.",1d6+1,1 in 1d100,Bulky silvery globe that encloses the wearer’s head.,
2,60,Solid Light Helm,"When the device is activated, the wearer’s head is encased in solid light. If anything specifically attacks the wearer’s head, he has 12 Armor. Moreover, he has breathable air while the helmet is active.",1d6+1,1 in 1d20,A metal collar.,
2,61,Sonic Blade,"This blade functions as a normal dagger except that when used to make an attack, it vibrates at an ultrasonic frequency that lets it punch through physical armor and other defenses. The weapon inflicts 2 additional points of damage.",1d6+1,–,A dagger covered in glowing tracery.,
2,62,Sphere Thrower,"When activated, the clawlike end of the rod fills with a ball of roiling energy. If used as a melee weapon, this is a medium weapon that inflicts 2 additional points of damage from the energy, but this strike exhausts the energy and it must be reactivated.
More devastatingly, the sphere can be hurled from the rod up to long range, where it bursts in an immediate radius and inflicts damage equal to the artifact level.",1d6+1,1 in 1d20,Metal rod with a clawlike end.,
2,63,Spider Harness,"When activated, eight spindly, jointed metallic legs emerge from the belt and lift the wearer a few feet off the ground for a number of minutes equal to the artifact level. The legs give the wearer a long movement speed on the ground and a short movement speed when climbing on walls or ceilings. In addition, they provide an asset on any task involving running, balance, staying upright, climbing, and so on.",1d6+1,1 in 1d100,Harnesslike belt.,
2,64,Strangelight Torch,"This device illuminates the immediate area regardless of barriers. It casts no shadows, and every nook and cranny in the area is well lit.",1d6+1,–,Glowing sphere on the end of a synth rod.,
2,65,Temporal Maul,"This time-displacement device constantly shifts back and forth through moments in time, making it very difficult to defend against. All attacks made with the maul have an asset that decreases the difficulty of the attack by one step.",1d6+1,1 in 1d100,"A metal and synth device placed at the end of a metal haft, turning it into a heavy weapon.",
2,66,Torment Wand,"The user can attack anyone within short range, inflicting horrendous pain. The victim moves one step down the damage track and cannot take actions. This lasts as long as the victim is within range and the user spends an action each round to continue the attack. Torment wands of level 6 or higher can continue to move the victim down the damage track each round (with a new Might defense roll each round to resist), which means that after three rounds, the target is dead.",1d6+1,1 in 1d10,Long black rod of metal and synth.,
2,67,Tracer Nodule,"When activated, the crystal adheres to any surface and transmits its location (distance and direction) to the user via a mental connection. The connection has a range of 161 km and lasts for a number of days equal to the artifact level.",1d6+1,1 in 1d20,A small crystal.,
2,68,Truth Seeker,"When affixed to a user’s forehead (perhaps with a headband), this device allows him to sense whether someone speaking to him is lying. The speaker must be within immediate range and must be speaking in a language that the wearer understands.",1d6+1,1 in 1d6,Small synth square.,
2,69,Tunneling Gauntlets,"It takes one round to slip into the gauntlets. When activated, they give the wearer an immediate burrowing speed for one hour. She can burrow through most soils and even some stone, but not material whose level is equal to or higher than the artifact level. Burrowing leaves behind a tunnel with a diameter of 5 feet (2 m) that remains stable for several hours. After that, the tunnel is subject to collapse.",1d6+1,1 in 1d20,An oversized pair of metallic gauntlets \with broad nails.,
2,70,Vision Snake,"Looking through one end of this tube always allows the user to see through it to the other end, no matter how many twists or bends are in the tube.",1d6+1,–,A 1 m long flexible synth tube that can be extended to 2 m.,
2,71,Wheeled Porter,"Obeying verbal commands, this device will follow the user around, even over difficult terrain. It can create up to three force bubbles at the ends of the rods, which can contain up to 200 pounds (91 kg) of inanimate material or gear. The bubbles are only as large as they need to be to hold whatever they are given. Commanding the device to create or negate a force bubble is an action.",1d6+1,1 in 1d100,"A triangular device 1 m high and 2 m across with treads, sporting metal rods on top.",
2,72,Whisperer in the Ether,"The bearer of this crystal has a direct line of telepathic communication with an immortal, artificial intelligence whose location is unknown (and may not even be relevant or comprehensible). The user can converse with the intelligence on an ongoing basis, but in general, the whisperer can share a useful bit of information, insight, or advice about once every 28 hours. Sometimes, this translates into an asset on one of the user’s actions, as the intelligence suggests the right phrase to make friends with a shopkeeper to get a good deal, the right tools to use while tinkering with a device, or the right place to put a shield to deflect an incoming attack. Sometimes the information is more broad, such as the right road to take to reach the next town or why the abhumans are attacking the caravan.
The whisperer’s willingness and ability to converse varies considerably. Sometimes it is quite chatty and offers advice. Other times, it must be convinced, cajoled, or tricked into giving information. Still other times, it is entirely absent for reasons it will not explain. The whisperer’s knowledge base is broad but not omniscient. It cannot see the future, but it can often predict outcomes based on logic. It has little or nothing of use (to a Ninth World inhabitant) to say about the distant past.",1d6+1,1 in 1d20,A small crystal.,
2,73,Wing Blade,"The user activates the insect by tossing it into the air. On each of the user’s turns, the insect flies a short distance and attacks a target that she chooses. The device inflicts damage equal to half the artifact level. At the end of this time or when the user chooses, the insect flies back to her and attaches itself to one of her limbs.",1d6+1,1 in 1d10,A small winged insect with a lower body that tapers down to a sharp point.,
2,74,Yarrin,"The yarrin is a creature with a level equal to the artifact level, and it has 3 health per level and 3 points of Armor. When activated, the yarrin hovers in the air in orbit around the user and becomes invisible. If anyone within immediate distance attacks the user, the yarrin automatically intercepts and absorbs the attack. Assuming the attack does not destroy the yarrin, it immediately becomes visible and begins attacking the assailant with thin beams of energy (one per round) that inflict damage equal to its level.
The yarrin fights for one round per artifact level and then deactivates. However, until it intercepts an attack, it continues to hover invisibly, even as the user sleeps.",1d6+1,1 in 1d10,A synth cube.,
2,75,Armored flesh,"When placed on the wearer’s flesh, the armor grafts on permanently. It provides Armor equal to half its level (round up) but does not hinder movement or tire the wearer in any way (no Speed cost increase for applying Effort). On the contrary, the wearer’s maximum Might Pool is permanently increased by 2.
However, the benefits come at a cost. Fibrous tendrils extend into the wearer’s flesh and eventually reach the spine and brain, inflicting damage in the form of 2 points of permanent maximum Intellect Pool reduction. This process takes one week. The lost points cannot be regained.",1d6+2,-,"Appears to be a collection of organic armored plates, like a carapace or very large fish scales.",
2,76,Chiurgeon sphere,"This device comes with a small module that can be worn on a belt. Floating along, the automaton attempts to follow within immediate range of the module (though it can be directed to remain where it is). It moves a short distance each round. The sphere can come to the module from a range of up to 10 miles (16 km) away. If the module is worn by an organic creature and that creature takes damage, the automaton moves to repair the damage with cellular regenerating tools that restore 1d6 – 2 points per round (meaning that if a 1 or 2 is rolled, no damage is repaired that round). This requires no action on the part of the creature being healed. Each day, the automaton can attempt to render aid a number of times equal to its level. The artifact must be newly activated each day.",1d6+2,1 in 1d20,"Small, spherical automaton about 20 cm in diameter.",
2,77,Ecstasy Paralyzer,"This long-range weapon fires a beam of energy that inflicts no damage. Instead, it affects the target’s mind, filling him with such pleasure that he loses his next turn.
This device is a rapid-fire weapon, and thus can be used with the Spray or Arc Spray abilities that some glaives and jacks have, but each “round of ammo” used or each additional target selected requires an additional depletion roll.",1d6+2,1 in 1d20,A handheld device with few controls.,
2,78,Fearmaker,"It takes two rounds to assemble and set up this device. Once set up, it takes an action to activate. When activated, it affects the minds of all thinking creatures within long range in a 45 degree arc. Those affected are instilled with terror, making them drop what they are holding and do one of the following:
01-50 Flee for 1d6 rounds
51-90 Cower (losing their actions) for 1d6 rounds
91-00 Faint, remaining unconscious for one minute (or until roused by vigorous action)",1d6+2,1 in 1d6,A 1.2 m collapsible tripod with a metal cone at the top.,
2,79,Light Spike,"When the glove is activated, a spike of solid, red-hot energy is emitted from the back of the wearer’s hand. This spike can be used as a melee weapon that inflicts damage equal to the artifact’s level. It lasts for ten minutes. If the wielder increases the spike’s power (which requires a separate action and an additional depletion roll), the damage increases by 1 point.",1d6+2,1 in 1d20,A fingerless glove of semirigid synth.,
2,80,Mind Imager,This device shows a visual image of what a creature is thinking. The affected creature need not be conscious.,1d6+2,1 in 1d20,A handheld device with a synth panel screen and wires that must be affixed to the head of a creature.,
2,81,Molecular Bonder,"This device fuses two objects together with a bond strength equal to its level. If flesh bonded in this way (whether to an object or to other flesh) is torn apart, it suffers damage equal to the device’s level.",1d6+2,1 in 1d6,A handheld device with a number of controls and a pointed end.,
2,82,Multidimensional Blade,"When activated, the blade exists on many levels of reality at once. It inflicts damage equal to its level, and it harms creatures (such as an abykos) that can be affected only by transdimensional effects. Once activated, the blade is active for one minute.",1d6+2,1 in 1d20,"A short, straight bladed weapon with a large haft that has a few controls on it.",
2,83,Psychic Helmet,"The wearer gains 3 Armor that protects against Intellect damage only. Further, the difficulty of attempting to affect the wearer’s mind is increased by one step in the wearer’s favor.",1d6+2,–,A lightweight synth helmet.,
2,84,Psychic Whistle,"When the device is activated, a whistlelike sound is heard by humans within 152 m. The device doesn’t actually produce sound but instead stimulates the aural center of the human brain. It has no effect on nonhumans.",1d6+2,1 in 1d100,A metal device 2.5 cm long with a single button.,
2,85,Recorder Headband,This headband records everything the wearer sees as moving images that can be replayed and reviewed. It stores up to one hundred hours of images.,1d6+2,1 in 1d20,A leatherlike headband with a small device attached.,
2,86,Repair Sphere,"This device comes with a small module that can be affixed to a machine. Floating along, the sphere attempts to follow within immediate range of the module (though it can be directed to remain where it is). It moves a short distance each round. It can come to the module from a range of up to 16 km away. If the module is attached to a machine and that machine takes damage, the sphere moves to repair the damage with sophisticated tools that restore 1d6 – 2 points per round (meaning that if a 1 or 2 is rolled, no damage is repaired that round). This requires no action on the part of the machine being repaired. The sphere can attempt to repair a machine a number of times per day equal to its level. The artifact must be newly activated each day.",1d6+2,1 in 1d100,A small spherical automaton about 20 cm in diameter.,
2,87,Safe Corridor,"When the device is activated, the space between the two capsules forms an invisible corridor of breathable atmosphere with a moderate temperature. It hedges out dangerous vapors, vacuum, insects, radiation, nanites, and other particulate matter. The corridor is 8 feet (2.4 m) wide and can be up to 1.6 km long. It must be relatively unobstructed – uneven terrain is fine, but walls, hills, and so on will block it. The corridor remains for 28 hours.",1d6+2,1 in 1d20,"Two separate metal and synth capsules about the size of a human’s head, each with a large glass plate.",
2,88,Skull Blaster,"This device emits a brilliant beam of focused light that has a range of 61 m. Targets hit by the beam take damage equal to the artifact’s level.
This device is a rapid-fire weapon, and thus can be used with the Spray or Arc Spray abilities that some glaives and jacks have, but each “round of ammo” used or each additional target selected requires an additional depletion roll.",1d6+2,1 in 1d20,A headband with an attached cylinder that runs along the left side of the wearer’s head.,
